,_Collision Id,Borough Name,_Casualty Count,_Casualty Severity,Collision Location,Latitude,Longitude
7882,1240512144,Croydon,1.0,Serious,"On Brighton Road, Near The Junction With The Drive.",51.3268068297179,-0.12993603381115348
7883,1240512145,Barking & Dagenham,2.0,Slight,"On Heathway, Dagenham, Near The Junction With Petits Road.",51.54590171819759,0.14792946153518938
7884,1240512148,Southwark,1.0,Slight,"On Peckham Road, Near The Junction With Southhampton Way.",51.47431873167152,-0.07687974228880921
7885,1240512149,Kensington & Chelsea,2.0,Serious,"On Kensington High Street, Near The Junction With Warwick Gardens.",51.497316950075295,-0.204177451087701
7886,1240512150,Newham,1.0,Serious,"On High Street South, London, 35 Metres South Of The Junction With Barking Road.",51.532548122709116,0.0545169962353354
7887,1240512151,Bexley,1.0,Slight,"On Upper Wickham Lane, Near The Junction With Wickham Street.",51.47123597261531,0.11068269356965012
7888,1240512153,Enfield,1.0,Slight,"On Sterling Way, 20 Metres West Of The Junction With Fore Street. (Location Uncertain)",51.61481215951317,-0.0650246450509311
7889,1240512154,Lewisham,1.0,Slight,"On Silvermere Road, 50 Metres North Of The Junction With Holbeach Road.",51.44786654172227,-0.02200810156187169
7890,1240512159,Tower Hamlets,1.0,Serious,"On Grove Road, Near The Junction With Clinton Road .",51.52744018983529,-0.03684160518106048
7891,1240512160,Barnet,1.0,Slight,"On Ballards Lane N12, Near The Junction With Christchurch Avenue.",51.61027450630268,-0.18051447174764024
7892,1240512163,Hounslow,1.0,Slight,"On Syon Lane, Near The Junction With Great West Road.",51.483334856306776,-0.3270749763216461
7893,1240512164,Lambeth,1.0,Slight,"On Hardel Rise, 27 Metres South Of The Junction With Tulse Hill.",51.44093875767717,-0.10842793007513461
7894,1240512167,Merton,1.0,Slight,"On Eastbourne Road, 10 Metres North Of The Junction With Seeley Road.",51.420694260637866,-0.1562672099385059
7895,1240512170,Harrow,1.0,Slight,"On Eastcote  Lane, Near The Junction With Corbins Lane.",51.5649883282821,-0.3604530061238881
7896,1240512171,Tower Hamlets,1.0,Slight,"On Rainhill Way, Near The Junction With Devons Road .",51.525233449959046,-0.015788194539173777
7897,1240512174,Enfield,1.0,Slight,"On Baker Street, Near The Junction With Lancaster Rd.",51.66298130839351,-0.07741827990657062
7898,1240512175,Camden,1.0,Slight,"On Highgate Road, Near The Junction With Chetwynd Road.",51.55678651848624,-0.14652774022329026
7899,1240512177,Haringey,1.0,Slight,"On West Green Road N15, Near The Junction With Langham Road.",51.58613885158702,-0.09105729686289799
7900,1240512178,Lambeth,1.0,Slight,"On Brixton Hill London Sw2, Near The Junction With Sudbourne Road.",51.45816278545845,-0.1175619087289125
7901,1240512179,Tower Hamlets,1.0,Slight,"On The Highway, Near The Junction With King David Lane.",51.50963263459963,-0.05397820238788403
7902,1240512180,Haringey,1.0,Serious,"On Green Lanes, Near The Junction With St Annes Road.",51.5824275416937,-0.09952683301721164
7903,1240512184,Barnet,1.0,Serious,"On Mount Pleasant, 35 Metres North Of The Junction With Bevan Road.",51.65090447787794,-0.15762376004843356
7904,1240512186,Newham,1.0,Slight,"On Royal Albert Way, Near The Junction With Connaught Bridge Roundabout.",51.5092241960679,0.040425400067756016
7905,1240512187,Islington,1.0,Slight,"On Islington High Street, 5 Metres South Of The Junction With White Lion Street.",51.532599487805335,-0.1061590098288466
7906,1240512188,Ealing,2.0,Slight,"On Norwood Road, Near The Junction With Norwood Road.",51.4968059738674,-0.3757367452339335
7907,1240512191,Hounslow,1.0,Slight,"On Harlington Road East, Near The Junction With Hanworth Road.",51.44562621640188,-0.40026117928566446
7908,1240512193,Havering,1.0,Slight,"On London Orbital Motorway, Near The Junction With Southend Arterial Road.",51.57159692815274,0.28488069479343264
7909,1240512195,Barking & Dagenham,3.0,Slight,"On A406 North Circular, Near The Junction With London Road.",51.53713190659344,0.0689847814893281
7910,1240512197,Croydon,1.0,Slight,"On Lodge Lane, 50 Metres South Of The Junction With Kent Gate Way.",51.35579453921,-0.03086001363215823
7911,1240512199,Hackney,3.0,Slight,"On Skipworth Road, Near The Junction With Victoria Park Road.",51.53736313109903,-0.04894547922523131
7912,1240512201,Westminster,1.0,Slight,"On Belgrave Place, Near The Junction With Eaton Place.",51.49734665282049,-0.15225363951425855
7913,1240512202,Barnet,1.0,Slight,"On North Circular, 5 Metres East Of The Junction With Coppets Close.",51.60586084552995,-0.1615706366724839
7914,1240512203,Lewisham,1.0,Serious,"On Lewisham High Street, 37 Metres South Of The Junction With Lewisham Park.",51.45424081748587,-0.016061466455978484
7915,1240512205,Hackney,1.0,Serious,"On Seven Sisters Road, Near The Junction With Queens Drive.",51.5662549286415,-0.10204819631503265
